topology,seed,n,hilbert_dim,subsystem_size,d_A,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,g2_plateau,C_modular,candidate_L,family,spearman_lambda_kappa,beta_pred_from_alpha,abs_beta_minus_pred,fit_ok,r2,A_fit,beta,B_fit
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,induced,pos,1.0,,,1,0.9456082658617352,28.155719401685907,0.18779862775334416,-1.3561023808338852
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,induced,neg,1.0,,,1,-3.2862601528904634e-14,0.1646615374380013,1.5326479673257684e-13,8.379447772065939
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,schur,pos,1.0,,,1,0.9815471421687286,68.1122295741781,0.8525179061975273,0.5892633770843178
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,schur,neg,1.0,,,1,-2.220446049250313e-16,0.14827187466580483,2.8895303682599324e-17,8.395837433669227
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,input_induced,pos,,,,1,-4.6629367034256575e-14,33.42037791446364,0.9999900850552929,8.544074975859917
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,input_induced,neg,,,,1,-2.220446049250313e-16,7.125254934418096,0.462559490819157,-4237.226885690482
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,mi_normalized,pos,1.0,,,1,0.9696243437454255,6.88208700988099,1.2249999555537492,1.1570508699071855
grid,0,16,65536,4,16,"3,6,8,11",24,-34.59875857090268,0.08428343462496274,0.3269439137917456,0.0827090038207044,0.011075094782272572,0.10957011106537104,0.4206786008244771,0.05280422987401728,0.8448676779842765,mi_normalized,neg,1.0,,,1,-4.218847493575595e-15,0.07480895619278947,4.915552564419801e-14,8.469300352353361
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,induced,pos,1.0,,,1,0.950984269599437,28.41333049748917,0.1413943435407445,-4.485269513736759
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,induced,neg,1.0,,,1,0.0,0.1755442447931819,1.5959124128018918e-21,8.205473950818778
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,schur,pos,1.0,,,1,0.9696775854280892,95.94386030437049,1.0722346808094065,1.028555934610121
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,schur,neg,1.0,,,1,0.0,0.154004767411571,6.904494646876506e-17,8.227013428200388
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,input_induced,pos,0.8224783208299743,,,1,0.6448070481422843,6.682108713494593,0.35729996862652086,6.232667275795466
grid,1,16,65536,4,16,"1,9,11,13",24,-35.78279466650081,-0.010031520987214647,0.410721801843931,0.08110068454928832,0.010792205497482185,0.0836167701628644,0.48819880218291806,0.05817755965035169,0.9308409544056271,input_induced,neg,0.8224783208299743,,,1,0.0,0.020341264167008745,2.955389262723887e-19,8.360676914886328
